Start Time (s),End Time (s),Duration (s)
10.410,14.610,4.200
15.570,17.310,1.740
19.950,22.800,2.850
63.360,64.620,1.260
65.970,69.690,3.720
70.680,72.450,1.770
73.110,75.270,2.160
75.810,76.800,0.990
80.430,82.170,1.740
82.320,83.820,1.500
86.070,87.090,1.020
88.650,91.620,2.970
93.450,95.850,2.400
97.380,98.940,1.560
100.080,102.180,2.100
102.510,103.410,0.900
104.490,105.120,0.630
114.930,116.670,1.740
121.050,121.860,0.810
133.650,134.610,0.960
137.190,138.300,1.110
138.480,139.740,1.260
140.640,144.330,3.690
145.020,147.660,2.640
148.230,150.150,1.920
153.840,156.570,2.730
157.020,159.600,2.580
159.870,160.620,0.750
161.070,163.050,1.980
163.560,165.180,1.620
180.660,181.260,0.600
188.850,190.740,1.890
191.460,192.450,0.990
192.900,196.860,3.960
201.630,204.450,2.820
204.450,205.410,0.960
216.240,218.640,2.400
219.960,220.980,1.020
221.160,222.450,1.290
223.860,225.600,1.740
226.860,229.380,2.520
229.800,232.950,3.150
233.820,236.670,2.850
236.880,238.440,1.560
238.860,240.180,1.320
240.480,242.040,1.560
258.390,262.200,3.810
263.040,264.060,1.020
265.470,268.260,2.790
270.900,272.340,1.440
273.180,274.530,1.350
274.680,275.610,0.930
276.570,277.920,1.350
281.400,283.830,2.430
285.570,286.500,0.930
287.190,289.740,2.550
296.340,301.290,4.950
301.950,302.880,0.930
307.770,310.020,2.250
314.250,318.870,4.620
319.620,320.700,1.080
320.760,325.380,4.620
326.370,327.840,1.470
346.440,348.300,1.860
348.600,351.030,2.430
353.160,355.260,2.100
382.410,383.940,1.530
384.090,385.710,1.620
386.970,388.410,1.440
389.490,391.890,2.400
392.220,393.240,1.020
405.030,405.990,0.960
419.880,422.880,3.000
423.300,424.560,1.260
424.740,425.820,1.080
427.200,430.290,3.090
430.500,432.090,1.590
446.880,447.540,0.660
451.260,452.580,1.320
468.660,469.410,0.750
473.250,474.270,1.020
484.230,485.040,0.810
487.890,488.670,0.780
500.370,502.140,1.770
506.520,507.510,0.990
520.980,522.420,1.440
522.690,524.640,1.950
556.710,557.580,0.870
570.870,571.710,0.840
585.240,585.840,0.600
589.980,590.580,0.600
593.520,594.450,0.930
596.070,597.030,0.960
599.760,600.660,0.900
602.760,603.690,0.930
606.360,606.960,0.600
610.590,611.850,1.260
622.110,625.650,3.540
627.030,627.750,0.720
627.750,629.460,1.710
630.390,630.990,0.600
633.210,635.280,2.070
671.700,674.640,2.940
700.080,704.910,4.830
742.680,745.980,3.300
750.870,753.540,2.670
754.590,757.350,2.760
758.310,762.030,3.720
762.540,764.190,1.650
764.790,766.380,1.590
766.500,768.630,2.130
768.630,773.250,4.620
774.000,778.530,4.530
779.310,780.660,1.350
780.990,782.100,1.110
782.370,785.460,3.090
791.580,796.200,4.620
